City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Tasiilaq,GL,2022-09-27 18:39:08,65.6145,-37.6368,37.56,97,100,1.86
151,Vila Velha,BR,2022-09-27 18:39:08,-20.3297,-40.2925,84.15,81,40,18.41
152,Mar Del Plata,AR,2022-09-27 18:39:09,-38.0023,-57.5575,57.22,59,0,19.57
153,Bemidji,US,2022-09-27 18:39:09,47.4736,-94.8803,55.06,49,0,10.36
154,Yellowknife,CA,2022-09-27 18:39:09,62.456,-114.3525,61.32,67,40,9.22
155,Dibulla,CO,2022-09-27 18:39:11,11.2725,-73.3091,86.49,71,99,3.02
156,Presidencia Roque Saenz Pena,AR,2022-09-27 18:39:11,-26.7852,-60.4388,82.94,29,74,14.47
157,Miyako,JP,2022-09-27 18:39:12,39.6367,141.9525,61.59,68,100,9.55
158,Syracuse,IT,2022-09-27 18:39:12,37.0881,15.2792,74.79,60,0,10.74
159,Aguining,PH,2022-09-27 18:39:13,10.0861,124.5944,80.11,79,100,6.22
160,Mazagao,BR,2022-09-27 18:39:13,-0.115,-51.2894,95.05,40,93,5.44
161,Hermanus,ZA,2022-09-27 18:39:13,-34.4187,19.2345,55.8,80,0,2.15
162,Bethel,US,2022-09-27 18:37:02,41.3712,-73.414,71.49,60,75,9.22
163,Souillac,MU,2022-09-27 18:39:14,-20.5167,57.5167,71.98,60,75,10.36
164,Nagar Karnul,IN,2022-09-27 18:39:14,16.4821,78.3247,74.88,84,100,5.61
165,Constitucion,CL,2022-09-27 18:39:15,-35.3333,-72.4167,61.29,59,0,14.94
166,Kieta,PG,2022-09-27 18:39:15,-6.2167,155.6333,78.49,82,94,2.08
167,Norfolk,US,2022-09-27 18:37:51,42.1668,-71.2495,75.13,50,0,16.11
168,Norman Wells,CA,2022-09-27 18:39:16,65.282,-126.8329,42.84,75,20,13.8
169,Qaqortoq,GL,2022-09-27 18:39:17,60.7167,-46.0333,44.6,95,100,1.63
170,Dryden,CA,2022-09-27 18:39:17,49.7833,-92.7503,43.09,56,0,4.61
171,Price,US,2022-09-27 18:39:18,39.5994,-110.8107,72.66,24,0,6.91
172,Trairi,BR,2022-09-27 18:35:25,-3.2778,-39.2689,82.8,63,0,15.48
173,Palu,ID,2022-09-27 18:39:18,-0.8917,119.8707,73.53,93,98,4.16
174,Balkhash,KZ,2022-09-27 18:39:19,46.844,74.9804,60.42,42,100,7.02
175,Miandrivazo,MG,2022-09-27 18:39:19,-19.5167,45.4667,76.8,71,0,4.12
176,Aykhal,RU,2022-09-27 18:39:20,66.0,111.5,16.52,94,100,7.0
177,Kuching,MY,2022-09-27 18:39:20,1.55,110.3333,77.22,100,40,2.3
178,Nuuk,GL,2022-09-27 18:37:32,64.1835,-51.7216,45.21,87,100,27.63
179,Saskylakh,RU,2022-09-27 18:40:21,71.9167,114.0833,23.52,96,88,6.98
180,Kaniama,CD,2022-09-27 18:40:21,-7.5667,24.1833,73.04,69,97,4.0
181,Ilulissat,GL,2022-09-27 18:40:21,69.2167,-51.1,41.02,93,75,2.3
182,Ancud,CL,2022-09-27 18:40:22,-41.8697,-73.8203,59.23,64,0,3.85
183,Oytal,KZ,2022-09-27 18:40:22,42.9057,73.2697,58.62,41,91,1.57
184,Tursunzoda,TJ,2022-09-27 18:40:22,38.5144,68.2333,69.24,24,0,3.96
185,Goba,ET,2022-09-27 18:40:23,7.0167,39.9833,49.08,88,8,4.07
186,Talnakh,RU,2022-09-27 18:40:23,69.4865,88.3972,20.41,83,21,4.68
187,Tamandare,BR,2022-09-27 18:40:23,-8.7597,-35.1047,78.51,58,5,7.96
188,Asau,RO,2022-09-27 18:40:24,46.4333,26.4,61.29,70,96,3.2
189,Baykit,RU,2022-09-27 18:40:24,61.67,96.37,29.17,81,100,3.69
190,Ahipara,NZ,2022-09-27 18:40:24,-35.1667,173.1667,58.48,83,100,11.45
191,Arraial Do Cabo,BR,2022-09-27 18:40:25,-22.9661,-42.0278,80.56,73,40,11.5
192,Kaitangata,NZ,2022-09-27 18:40:26,-46.2817,169.8464,47.62,93,95,4.72
